Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sampling time]	Unit	Term Source REF	Term Accession Number
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-54	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-55	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-56	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-57	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-58	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-59	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-60	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-61	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-62	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-63	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
